 2.511535423078e+00  4.683516963934e-33  7.865893304906e-34
 2.517845813589e+00  4.683079924966e-33  7.885277041250e-34
 2.524156204099e+00  4.682641816452e-33  7.904657934784e-34
 2.530466594609e+00  4.682202638596e-33  7.924035978589e-34
 2.536776985119e+00  4.681762391600e-33  7.943411165748e-34
 2.543087375630e+00  4.681321075670e-33  7.962783489346e-34
 2.549397766140e+00  4.680878691008e-33  7.982152942470e-34
 2.555708156650e+00  4.680435237821e-33  8.001519518206e-34
 2.562018547160e+00  4.679990716312e-33  8.020883209645e-34
 2.568328937671e+00  4.679545126690e-33  8.040244009876e-34
 2.574639328181e+00  4.679098469158e-33  8.059601911994e-34
 2.580949718691e+00  4.678650743926e-33  8.078956909091e-34
 2.587260109201e+00  4.678201951199e-33  8.098308994263e-34
 2.593570499712e+00  4.677752091186e-33  8.117658160608e-34
 2.599880890222e+00  4.677301164095e-33  8.137004401223e-34
 2.606191280732e+00  4.676849170134e-33  8.156347709210e-34
 2.612501671242e+00  4.676396109514e-33  8.175688077671e-34
 2.618812061753e+00  4.675941982444e-33  8.195025499708e-34
 2.625122452263e+00  4.675486789134e-33  8.214359968427e-34
 2.631432842773e+00  4.675030529796e-33  8.233691476934e-34
 2.637743233283e+00  4.674573204639e-33  8.253020018338e-34
 2.644053623794e+00  4.674114813877e-33  8.272345585749e-34
 2.650364014304e+00  4.673655357721e-33  8.291668172278e-34
 2.656674404814e+00  4.673194836384e-33  8.310987771038e-34
 2.662984795324e+00  4.672733250080e-33  8.330304375144e-34
 2.669295185835e+00  4.672270599021e-33  8.349617977712e-34
 2.675605576345e+00  4.671806883423e-33  8.368928571861e-34
 2.681915966855e+00  4.671342103499e-33  8.388236150709e-34
 2.688226357365e+00  4.670876259466e-33  8.407540707378e-34
 2.694536747876e+00  4.670409351539e-33  8.426842234991e-34
 2.700847138386e+00  4.669941379933e-33  8.446140726671e-34
 2.707157528896e+00  4.669472344866e-33  8.465436175546e-34
 2.713467919406e+00  4.669002246555e-33  8.484728574743e-34
 2.719778309917e+00  4.668531085218e-33  8.504017917392e-34
 2.726088700427e+00  4.668058861071e-33  8.523304196623e-34
 2.732399090937e+00  4.667585574335e-33  8.542587405569e-34
 2.738709481447e+00  4.667111225228e-33  8.561867537364e-34
 2.745019871958e+00  4.666635813970e-33  8.581144585145e-34
 2.751330262468e+00  4.666159340780e-33  8.600418542049e-34
 2.757640652978e+00  4.665681805880e-33  8.619689401215e-34
 2.763951043488e+00  4.665203209491e-33  8.638957155785e-34
 2.770261433999e+00  4.664723551833e-33  8.658221798902e-34
 2.776571824509e+00  4.664242833129e-33  8.677483323708e-34
 2.782882215019e+00  4.663761053602e-33  8.696741723352e-34
 2.789192605529e+00  4.663278213474e-33  8.715996990979e-34
 2.795502996040e+00  4.662794312969e-33  8.735249119741e-34
 2.801813386550e+00  4.662309352311e-33  8.754498102787e-34
 2.808123777060e+00  4.661823331724e-33  8.773743933271e-34
 2.814434167570e+00  4.661336251433e-33  8.792986604347e-34
 2.820744558081e+00  4.660848111664e-33  8.812226109172e-34
 2.827054948591e+00  4.660358912642e-33  8.831462440903e-34
 2.833365339101e+00  4.659868654595e-33  8.850695592701e-34
 2.839675729611e+00  4.659377337748e-33  8.869925557725e-34
 2.845986120122e+00  4.658884962330e-33  8.889152329141e-34
 2.852296510632e+00  4.658391528567e-33  8.908375900111e-34
 2.858606901142e+00  4.657897036689e-33  8.927596263804e-34
 2.864917291652e+00  4.657401486923e-33  8.946813413387e-34
 2.871227682163e+00  4.656904879501e-33  8.966027342030e-34
 2.877538072673e+00  4.656407214650e-33  8.985238042904e-34
 2.883848463183e+00  4.655908492602e-33  9.004445509185e-34
 2.890158853693e+00  4.655408713587e-33  9.023649734046e-34
 2.896469244204e+00  4.654907877837e-33  9.042850710664e-34
 2.902779634714e+00  4.654405985583e-33  9.062048432219e-34
 2.909090025224e+00  4.653903037057e-33  9.081242891891e-34
 2.915400415734e+00  4.653399032492e-33  9.100434082862e-34
 2.921710806245e+00  4.652893972122e-33  9.119621998316e-34
 2.928021196755e+00  4.652387856179e-33  9.138806631439e-34
 2.934331587265e+00  4.651880684899e-33  9.157987975419e-34
 2.940641977775e+00  4.651372458515e-33  9.177166023444e-34
 2.946952368286e+00  4.650863177263e-33  9.196340768706e-34
 2.953262758796e+00  4.650352841378e-33  9.215512204398e-34
 2.959573149306e+00  4.649841451096e-33  9.234680323715e-34
 2.965883539816e+00  4.649329006655e-33  9.253845119853e-34
 2.972193930327e+00  4.648815508291e-33  9.273006586009e-34
 2.978504320837e+00  4.648300956241e-33  9.292164715386e-34
 2.984814711347e+00  4.647785350743e-33  9.311319501183e-34
 2.991125101857e+00  4.647268692037e-33  9.330470936605e-34
 2.997435492368e+00  4.646750980360e-33  9.349619014857e-34
 3.003745882878e+00  4.646232215953e-33  9.368763729147e-34
 3.010056273388e+00  4.645712399055e-33  9.387905072684e-34
 3.016366663898e+00  4.645191529907e-33  9.407043038678e-34
 3.022677054409e+00  4.644669608750e-33  9.426177620343e-34
 3.028987444919e+00  4.644146635824e-33  9.445308810892e-34
 3.035297835429e+00  4.643622611373e-33  9.464436603543e-34
 3.041608225939e+00  4.643097535637e-33  9.483560991514e-34
 3.047918616450e+00  4.642571408861e-33  9.502681968024e-34
 3.054229006960e+00  4.642044231286e-33  9.521799526295e-34
 3.060539397470e+00  4.641516003158e-33  9.540913659552e-34
 3.066849787980e+00  4.640986724720e-33  9.560024361019e-34
 3.073160178490e+00  4.640456396217e-33  9.579131623925e-34
